Height	Group
174.0536	Grupo 1
166.0855	Grupo 1
167.0876	Grupo 1
174.8302	Grupo 1
169.9281	Grupo 1
175.0535	Grupo 1
153.5188	Grupo 1
160.9972	Grupo 1
165.9701	Grupo 1
166.0778	Grupo 1
175.1863	Grupo 1
166.1532	Grupo 1
171.5208	Grupo 1
174.1539	Grupo 1
167.9454	Grupo 1
169.6174	Grupo 1
184.2793	Grupo 1
167.8550	Grupo 1
172.9470	Grupo 1
172.4493	Grupo 1
171.5857	Grupo 1
165.0466	Grupo 1
178.6664	Grupo 1
165.0913	Grupo 1
168.5972	Grupo 1
175.5938	Grupo 1
175.4899	Grupo 1
163.8549	Grupo 1
165.6646	Grupo 1
173.2717	Grupo 1
177.0088	Grupo 1
175.2916	Grupo 1
168.5515	Grupo 1
169.1734	Grupo 1
172.3073	Grupo 1
171.6777	Grupo 1
168.5650	Grupo 1
173.1304	Grupo 1
173.8209	Grupo 1
168.1920	Grupo 1
163.8186	Grupo 1
178.2901	Grupo 1
169.5442	Grupo 1
164.8678	Grupo 1
170.9821	Grupo 1
176.8038	Grupo 1
176.2720	Grupo 1
172.9540	Grupo 1
174.3156	Grupo 1
175.5005	Grupo 1
177.8005	Grupo 1
173.5437	Grupo 1
171.3891	Grupo 1
177.5097	Grupo 1
173.2879	Grupo 1
171.7666	Grupo 1
173.1315	Grupo 1
166.7816	Grupo 1
164.4913	Grupo 1
176.2085	Grupo 1
170.7293	Grupo 1
176.5611	Grupo 1
156.8827	Grupo 1
175.4130	Grupo 1
174.2019	Grupo 1
170.6906	Grupo 1
168.5168	Grupo 1
166.8334	Grupo 1
174.0119	Grupo 1
154.9614	Grupo 1
174.1884	Grupo 1
171.2979	Grupo 1
165.1093	Grupo 1
169.7721	Grupo 1
174.5827	Grupo 1
167.8789	Grupo 1
182.3894	Grupo 1
173.6197	Grupo 1
173.2618	Grupo 1
164.9363	Grupo 1
181.3643	Grupo 1
167.0775	Grupo 1
164.8978	Grupo 1
177.0864	Grupo 1
171.4316	Grupo 1
174.6233	Grupo 1
163.8817	Grupo 1
172.9952	Grupo 1
172.0023	Grupo 1
164.4636	Grupo 1
166.4876	Grupo 1
177.0390	Grupo 1
174.9848	Grupo 1
166.4137	Grupo 1
165.6989	Grupo 1
159.5111	Grupo 1
161.5919	Grupo 1
167.7655	Grupo 1
157.1976	Grupo 1
172.2609	Grupo 1
184.4800	Grupo 2
167.9402	Grupo 2
167.3056	Grupo 2
173.0140	Grupo 2
169.8395	Grupo 2
167.3288	Grupo 2
180.0610	Grupo 2
176.5753	Grupo 2
176.3596	Grupo 2
165.0358	Grupo 2
164.3564	Grupo 2
175.1875	Grupo 2
174.0442	Grupo 2
164.0647	Grupo 2
174.4011	Grupo 2
171.1908	Grupo 2
174.0276	Grupo 2
173.1042	Grupo 2
173.3688	Grupo 2
171.2230	Grupo 2
175.6955	Grupo 2
170.8394	Grupo 2
174.2513	Grupo 2
176.3227	Grupo 2
183.3478	Grupo 2
175.3208	Grupo 2
173.6353	Grupo 2
174.5970	Grupo 2
168.8659	Grupo 2
175.9744	Grupo 2
179.9867	Grupo 2
172.0647	Grupo 2
177.3781	Grupo 2
173.8594	Grupo 2
178.6739	Grupo 2
173.9540	Grupo 2
168.9064	Grupo 2
179.6970	Grupo 2
168.5620	Grupo 2
161.1398	Grupo 2
172.6907	Grupo 2
186.8889	Grupo 2
176.0304	Grupo 2
171.0164	Grupo 2
162.6602	Grupo 2
168.1110	Grupo 2
179.7403	Grupo 2
174.1771	Grupo 2
181.3803	Grupo 2
172.2621	Grupo 2
171.1493	Grupo 2
182.4925	Grupo 2
173.9311	Grupo 2
175.5107	Grupo 2
172.6724	Grupo 2
175.6073	Grupo 2
170.8248	Grupo 2
181.2259	Grupo 2
173.5031	Grupo 2
177.6748	Grupo 2
174.6888	Grupo 2
172.9646	Grupo 2
180.8748	Grupo 2
175.2564	Grupo 2
168.9973	Grupo 2
175.3116	Grupo 2
171.2911	Grupo 2
167.8652	Grupo 2
174.0765	Grupo 2
175.7334	Grupo 2
176.9338	Grupo 2
180.8140	Grupo 2
174.6245	Grupo 2
176.1805	Grupo 2
169.3886	Grupo 2
162.8588	Grupo 2
182.1993	Grupo 2
170.3779	Grupo 2
175.4296	Grupo 2
163.7740	Grupo 2
174.6826	Grupo 2
170.2305	Grupo 2
176.8055	Grupo 2
175.5998	Grupo 2
175.4333	Grupo 2
170.1314	Grupo 2
179.6422	Grupo 2
176.6298	Grupo 2
173.2416	Grupo 2
173.9081	Grupo 2
178.5601	Grupo 2
178.1854	Grupo 2
164.5402	Grupo 2
168.8210	Grupo 2
177.3695	Grupo 2
176.8008	Grupo 2
168.9631	Grupo 2
171.9973	Grupo 2
177.0751	Grupo 2
174.9596	Grupo 2
166.2109	Grupo 2
172.2352	Grupo 2
175.1876	Grupo 2
161.2156	Grupo 2
165.1993	Grupo 2
165.7823	Grupo 2
165.8809	Grupo 2
175.2058	Grupo 2
173.0154	Grupo 2
175.1259	Grupo 2
174.3516	Grupo 2
181.0726	Grupo 2
176.9566	Grupo 2
173.2886	Grupo 2
178.4252	Grupo 2
169.4384	Grupo 2
171.4451	Grupo 2
165.5169	Grupo 2
168.2455	Grupo 2
176.9108	Grupo 2
170.7905	Grupo 2
168.0160	Grupo 2
173.9739	Grupo 2
162.8638	Grupo 2
168.5269	Grupo 2
169.3951	Grupo 2
171.1800	Grupo 2
157.0462	Grupo 2
173.9988	Grupo 2
169.2322	Grupo 2
172.0826	Grupo 2
181.8015	Grupo 2
169.0826	Grupo 2
171.6584	Grupo 2
171.1882	Grupo 2
179.6182	Grupo 2
174.4344	Grupo 2
188.6104	Grupo 2
160.3920	Grupo 2
169.5845	Grupo 2
182.2961	Grupo 2
169.5194	Grupo 2
172.2022	Grupo 2
163.7641	Grupo 2
170.7532	Grupo 2
178.5256	Grupo 2
176.4837	Grupo 2
170.6993	Grupo 2
175.1349	Grupo 2
177.5331	Grupo 2
