x1	x2	x3	x6	x10
5.90	6.10	3.00	5	1
3.50	5.10	1.90	7	0
116.00	9.10	44.10	6	0
39.40	6.90	16.40	12	0
2.50	4.60	2.90	12	1
19.60	7.30	4.50	14	1
5.20	5.40	2.80	10	1
71.40	8.10	55.20	12	1
26.40	5.80	9.20	24	1
4.80	6.40	4.60	12	1
6.60	5.40	2.70	12	1
16.50	7.20	13.80	12	1
25.40	7.20	25.20	7	1
7.10	5.80	5.20	43	1
128.00	7.60	86.50	11	0
83.70	8.20	66.50	10	1
108.50	8.70	35.60	40	1
61.30	7.80	57.40	6	1
6.40	5.80	4.00	10	1
31.00	6.70	15.00	6	1
7.50	4.40	2.00	12	1
17.30	6.70	10.70	12	1
12.60	6.10	3.70	12	0
7.00	6.90	6.30	12	1
10.50	5.50	6.30	10	1
30.00	6.90	13.90	36	1
55.40	7.30	15.90	10	1
3.90	4.50	3.30	8	1
5.50	4.80	1.70	11	0
6.30	5.80	3.30	10	1
67.00	7.80	58.60	10	1
28.80	7.40	10.20	10	1
5.80	3.60	1.60	12	0
4.50	4.40	1.10	13	0
119.10	7.90	38.40	12	1
25.40	7.10	8.80	13	1
106.50	6.80	90.70	13	1
53.00	8.40	45.60	4	0
8.50	7.00	2.50	12	1
87.60	7.50	85.50	10	1
114.00	7.00	72.60	14	1
97.50	6.80	45.50	12	1
11.80	5.90	24.20	10	1
66.50	8.30	26.00	12	1
16.00	6.70	41.20	12	1
5.00	6.20	23.60	12	1
25.60	6.20	12.60	44	1
81.50	8.90	20.50	6	0
1.20	4.30	2.10	10	1
34.00	7.00	13.10	12	1
15.50	6.90	5.20	11	1
17.30	5.20	3.00	12	1
71.80	7.90	20.50	12	1
